Sell ID,Name,Type,Price
260,Obed Mccoy,Bowler,"2,00,00,000"
261,Dhruv Jurel,Wicket Keeper,"1,00,00,000"
262,Tejas Baroka,Bowler,"1,00,00,000"
263,Kuldip Yadav,Bowler,"1,00,00,000"
264,Shubham Garhwal,All-Rounder,"1,00,00,000"
265,Anunay Singh,All-Rounder,"1,00,00,000"
266,Faf Du Plessis,Batsman,"2,00,00,000"
267,Harshal Patel,All-Rounder,"2,00,00,000"
268,Dinesh  Karthik,Wicket Keeper,"2,00,00,000"
269,Josh Hazlewood,Bowler,"2,00,00,000"
270,Anuj Rawat,Wicket Keeper,"2,00,00,000"
271,Akash  Deep,Bowler,"1,00,00,000"
272,Karn Sharma,Bowler,"2,00,00,000"
273,Mahipal Lomror,All-Rounder,"2,00,00,000"
274,Finn Allen,Batsman,"2,00,00,000"
275,Sherfane Rutherford,All-Rounder,"2,00,00,000"
276,Jason Behrendorff,Bowler,"2,00,00,000"
277,Siddharth  Kaul,Bowler,"2,00,00,000"
278,Luvnith Sisodia,Wicket Keeper,"1,00,00,000"
279,Chama Milind,Bowler,"1,00,00,000"
280,Aneeshwar Gautam,All-Rounder,"1,00,00,000"
281,David Willey,All-Rounder,"2,00,00,000"
282,Washington Sundar,All-Rounder,"2,00,00,000"
283,Bhuvneshwar Kumar,Bowler,"2,00,00,000"
284,T. Natarajan,Bowler,"2,00,00,000"
285,Vishnu Vinod,Wicket Keeper,"2,00,00,000"
286,Jagadeesha Suchith,Bowler,"1,00,00,000"
287,Aiden Markram,Batsman,"2,00,00,000"
288,Marco Jansen,All-Rounder,"2,00,00,000"
289,Glenn Phillips,Wicket Keeper,"2,00,00,000"
290,Fazalhaq Farooqi,Bowler,"2,00,00,000"
291,Sean Abbott,Bowler,"2,00,00,000"
292,R Samarth,Batsman,"1,00,00,000"
293,Shashank Singh,All-Rounder,"1,00,00,000"
294,Saurabh Dubey,Bowler,"1,00,00,000"
295,Tom Curran,All-Rounder,"2,00,00,000"
296,Steven Smith,Batsman,"1,00,00,000"
297,Lukman Hussain Meriwala,Bowler,"1,00,00,000"
298,M Siddharth,Bowler,"1,00,00,000"
299,Harbhajan Singh,Bowler,"2,00,00,000"
300,Ben Cutting,All-Rounder,"2,00,00,000"
